category;governorate;hour;dayOfWeek;month;maxParticipants;success_level
CEREMONY;Ben Arous;17;4;5;93;MEDIUM
SPORT;Ben Arous;10;1;7;111;MEDIUM
CINEMA;Kebili;20;2;6;28;MEDIUM
SPORT;Tunis;10;3;6;117;MEDIUM
KARAOKE;Manouba;19;0;3;37;MEDIUM
CEREMONY;Sfax;15;4;7;56;HIGH
SPORT;Ben Arous;10;4;2;96;MEDIUM
OTHER;Siliana;15;0;5;62;LOW
CEREMONY;Ben Arous;16;4;4;176;MEDIUM
OTHER;Zaghouan;19;3;3;27;MEDIUM
KARAOKE;Kef;20;3;3;14;MEDIUM
CINEMA;Sidi Bouzid;19;3;5;76;MEDIUM
SPORT;Kairouan;10;1;12;100;LOW
CEREMONY;Medenine;15;1;8;57;MEDIUM
CINEMA;Kef;17;3;6;63;MEDIUM
KARAOKE;Sousse;20;3;11;48;MEDIUM
CINEMA;Kef;19;4;12;40;MEDIUM
CEREMONY;Siliana;10;3;6;104;LOW
CEREMONY;Gabes;17;1;6;126;MEDIUM
KARAOKE;Kasserine;20;0;10;22;MEDIUM
OTHER;Sfax;11;5;9;13;MEDIUM
CEREMONY;Tozeur;10;3;5;47;LOW
CEREMONY;Gafsa;14;1;11;107;LOW
CINEMA;Jendouba;18;5;7;63;HIGH
SPORT;Sousse;17;3;10;71;HIGH
OTHER;Mahdia;20;3;9;14;MEDIUM
KARAOKE;Tozeur;22;4;11;15;LOW
SPORT;Beja;18;5;6;41;HIGH
OTHER;Ariana;18;5;11;92;MEDIUM
CEREMONY;Siliana;17;3;2;32;MEDIUM
SPORT;Jendouba;9;4;12;86;LOW
OTHER;Gabes;20;4;4;67;MEDIUM
KARAOKE;Kasserine;21;6;11;47;MEDIUM
OTHER;Nabeul;14;0;8;23;MEDIUM
KARAOKE;Sidi Bouzid;18;0;12;19;MEDIUM
KARAOKE;Kef;20;3;4;43;MEDIUM
CEREMONY;Kairouan;14;0;8;145;MEDIUM
KARAOKE;Ben Arous;20;0;12;17;HIGH
SPORT;Siliana;18;0;11;41;MEDIUM
CINEMA;Mahdia;18;4;3;57;MEDIUM
OTHER;Sidi Bouzid;16;1;7;90;LOW
CINEMA;Zaghouan;20;3;1;40;MEDIUM
CEREMONY;Gabes;14;3;1;84;MEDIUM
CINEMA;Jendouba;17;4;2;38;MEDIUM
KARAOKE;Siliana;19;3;2;26;MEDIUM
CEREMONY;Mahdia;16;2;10;129;MEDIUM
OTHER;Kasserine;18;0;6;55;MEDIUM
CEREMONY;Medenine;10;6;11;106;MEDIUM
OTHER;Gabes;10;5;3;50;MEDIUM
SPORT;Beja;10;0;3;67;LOW
CINEMA;Mahdia;20;3;10;32;MEDIUM
OTHER;Kasserine;15;1;8;91;LOW
OTHER;Tozeur;19;1;9;31;MEDIUM
CEREMONY;Kef;10;1;6;145;LOW
OTHER;Ariana;14;0;8;27;MEDIUM
CINEMA;Kasserine;21;4;11;78;MEDIUM
CEREMONY;Gafsa;14;3;12;143;LOW
CEREMONY;Zaghouan;9;4;1;86;LOW
KARAOKE;Ariana;20;1;9;28;HIGH
CINEMA;Sousse;21;5;8;80;HIGH
SPORT;Gabes;8;2;9;66;MEDIUM
OTHER;Ariana;21;5;8;79;HIGH
CINEMA;Sidi Bouzid;17;5;11;46;MEDIUM
KARAOKE;Ariana;21;2;6;15;HIGH
CEREMONY;Manouba;17;6;4;83;HIGH
OTHER;Tozeur;14;6;12;88;LOW
CEREMONY;Zaghouan;15;1;4;82;LOW
SPORT;Gabes;10;4;5;96;LOW
OTHER;Zaghouan;14;5;5;47;MEDIUM
OTHER;Jendouba;17;5;2;27;MEDIUM
CEREMONY;Ariana;11;6;11;62;HIGH
CINEMA;Beja;18;5;6;46;HIGH
CEREMONY;Monastir;10;4;11;98;MEDIUM
CEREMONY;Kasserine;14;0;11;53;MEDIUM
CEREMONY;Mahdia;16;2;12;124;MEDIUM
CEREMONY;Monastir;11;4;1;53;MEDIUM
CEREMONY;Tataouine;16;5;6;46;HIGH
OTHER;Kasserine;12;3;4;73;LOW
KARAOKE;Siliana;20;2;9;46;MEDIUM
CINEMA;Gabes;20;6;6;21;HIGH
SPORT;Manouba;18;6;8;22;HIGH
SPORT;Zaghouan;16;3;1;74;MEDIUM
CINEMA;Tozeur;18;5;5;35;HIGH
KARAOKE;Ben Arous;20;2;2;33;HIGH
CINEMA;Ariana;20;5;5;44;HIGH
CEREMONY;Tataouine;9;5;2;30;MEDIUM
CINEMA;Monastir;17;1;10;43;MEDIUM
OTHER;Gafsa;16;0;1;99;LOW
KARAOKE;Manouba;21;5;3;40;HIGH
SPORT;Beja;16;0;12;33;MEDIUM
SPORT;Siliana;10;2;3;68;LOW
CINEMA;Tataouine;18;0;9;16;MEDIUM
OTHER;Tataouine;11;3;6;37;LOW
CINEMA;Sidi Bouzid;21;5;8;42;HIGH
SPORT;Manouba;9;6;2;95;MEDIUM
CEREMONY;Kairouan;14;2;3;93;MEDIUM
KARAOKE;Tataouine;18;1;9;48;MEDIUM
OTHER;Kebili;18;2;12;13;MEDIUM
KARAOKE;Bizerte;22;4;9;22;MEDIUM
CEREMONY;Kef;16;0;4;156;LOW
CEREMONY;Manouba;10;3;11;182;LOW
SPORT;Mahdia;8;2;6;36;MEDIUM
CEREMONY;Gabes;14;2;9;74;MEDIUM
CEREMONY;Ben Arous;9;4;2;33;MEDIUM
KARAOKE;Bizerte;18;0;7;42;MEDIUM
KARAOKE;Tataouine;22;6;7;37;MEDIUM
CEREMONY;Ben Arous;16;4;9;187;MEDIUM
CINEMA;Jendouba;17;2;2;80;MEDIUM
CINEMA;Nabeul;21;2;7;23;HIGH
KARAOKE;Tozeur;21;5;4;13;HIGH
CINEMA;Ben Arous;20;0;8;22;HIGH
KARAOKE;Gafsa;19;0;1;55;MEDIUM
CINEMA;Tozeur;17;1;8;59;MEDIUM
OTHER;Mahdia;21;6;12;43;MEDIUM
CINEMA;Kairouan;18;5;5;30;HIGH
SPORT;Siliana;19;3;5;87;MEDIUM
SPORT;Jendouba;18;4;11;29;HIGH
CEREMONY;Sousse;15;2;1;157;MEDIUM
OTHER;Zaghouan;14;1;5;23;LOW
OTHER;Gafsa;20;0;4;75;LOW
SPORT;Ariana;19;6;1;51;HIGH
SPORT;Monastir;10;3;3;42;MEDIUM
SPORT;Sfax;19;5;12;103;HIGH
CEREMONY;Beja;11;1;7;111;LOW
KARAOKE;Ben Arous;22;2;2;42;MEDIUM
SPORT;Zaghouan;9;6;9;25;HIGH
CEREMONY;Ben Arous;14;6;5;109;HIGH
KARAOKE;Ben Arous;22;3;1;33;MEDIUM
CINEMA;Kef;21;6;5;46;MEDIUM
CEREMONY;Kairouan;15;3;4;169;LOW
CINEMA;Nabeul;17;3;1;44;MEDIUM
OTHER;Kairouan;19;6;12;11;HIGH
KARAOKE;Tunis;21;6;12;56;HIGH
KARAOKE;Manouba;19;4;4;36;MEDIUM
CEREMONY;Ariana;10;5;5;53;HIGH
SPORT;Beja;19;4;7;109;MEDIUM
KARAOKE;Sousse;18;4;2;42;MEDIUM
CINEMA;Tataouine;20;0;10;22;MEDIUM
CEREMONY;Gafsa;10;1;5;96;LOW
KARAOKE;Kasserine;20;2;8;27;MEDIUM
CINEMA;Ben Arous;18;1;10;28;HIGH
CINEMA;Manouba;18;3;8;55;MEDIUM
CEREMONY;Manouba;15;2;4;145;MEDIUM
KARAOKE;Sousse;20;6;2;15;HIGH
CINEMA;Gafsa;19;6;12;20;HIGH
CINEMA;Siliana;18;0;12;46;MEDIUM
KARAOKE;Kasserine;22;0;11;29;LOW
KARAOKE;Zaghouan;18;3;8;45;MEDIUM
OTHER;Beja;10;3;2;27;LOW
SPORT;Tunis;8;6;4;36;HIGH
CINEMA;Kasserine;19;5;11;25;HIGH
OTHER;Gabes;13;6;2;12;MEDIUM
SPORT;Bizerte;18;3;3;31;HIGH
KARAOKE;Manouba;18;3;1;20;MEDIUM
OTHER;Sidi Bouzid;20;3;8;13;MEDIUM
CEREMONY;Gafsa;14;1;6;84;MEDIUM
CINEMA;Jendouba;19;3;3;19;MEDIUM
OTHER;Medenine;18;1;11;47;MEDIUM
CEREMONY;Sidi Bouzid;15;3;1;52;MEDIUM
KARAOKE;Kasserine;19;3;4;51;MEDIUM
OTHER;Beja;19;6;9;12;MEDIUM
CEREMONY;Tozeur;11;3;9;154;LOW
KARAOKE;Gabes;22;2;7;27;MEDIUM
CINEMA;Tunis;19;4;4;18;HIGH
KARAOKE;Ariana;21;4;6;59;HIGH
OTHER;Beja;11;0;4;94;LOW
CINEMA;Jendouba;21;6;12;22;HIGH
CINEMA;Gabes;20;2;3;37;MEDIUM
CINEMA;Gabes;19;6;12;60;HIGH
OTHER;Tunis;20;5;6;82;HIGH
OTHER;Nabeul;18;1;8;79;MEDIUM
KARAOKE;Zaghouan;21;0;2;13;MEDIUM
CINEMA;Medenine;18;0;9;76;MEDIUM
SPORT;Siliana;17;1;3;63;MEDIUM
CINEMA;Siliana;17;0;3;33;MEDIUM
SPORT;Mahdia;19;2;2;67;MEDIUM
CEREMONY;Gabes;9;2;5;112;LOW
CINEMA;Zaghouan;20;6;11;77;MEDIUM
KARAOKE;Zaghouan;22;5;10;60;MEDIUM
KARAOKE;Beja;22;6;3;34;MEDIUM
KARAOKE;Kebili;20;1;3;56;MEDIUM
SPORT;Tozeur;17;3;10;24;HIGH
CINEMA;Medenine;19;6;10;43;HIGH
OTHER;Manouba;16;1;6;19;MEDIUM
CINEMA;Kairouan;19;1;11;26;MEDIUM
KARAOKE;Sousse;18;2;4;25;HIGH
SPORT;Kairouan;10;6;2;112;MEDIUM
SPORT;Ariana;16;3;12;73;MEDIUM
CINEMA;Sidi Bouzid;20;3;6;63;MEDIUM
SPORT;Monastir;19;6;10;103;HIGH
CINEMA;Zaghouan;20;0;1;52;MEDIUM
SPORT;Siliana;10;0;2;63;LOW
CINEMA;Kasserine;18;5;2;26;HIGH
KARAOKE;Medenine;22;3;12;11;MEDIUM
CEREMONY;Tataouine;10;4;7;70;MEDIUM
SPORT;Manouba;10;1;4;72;MEDIUM
OTHER;Kebili;20;4;5;94;LOW
KARAOKE;Kef;19;0;1;35;MEDIUM
OTHER;Sfax;16;1;1;56;MEDIUM
SPORT;Sidi Bouzid;8;2;11;100;LOW
OTHER;Monastir;12;0;1;36;MEDIUM
CINEMA;Tataouine;19;0;8;29;MEDIUM
KARAOKE;Kasserine;21;3;11;26;MEDIUM
SPORT;Tataouine;17;3;3;67;MEDIUM
CEREMONY;Kairouan;10;3;1;97;LOW
CEREMONY;Sousse;11;1;5;174;LOW
SPORT;Nabeul;19;5;11;32;HIGH
SPORT;Gafsa;10;6;9;72;MEDIUM
OTHER;Beja;17;0;7;76;MEDIUM
CEREMONY;Sfax;16;6;8;176;HIGH
CINEMA;Monastir;19;0;7;19;HIGH
OTHER;Gabes;17;6;10;96;MEDIUM
OTHER;Nabeul;10;6;8;32;HIGH
CINEMA;Bizerte;18;1;1;69;MEDIUM
SPORT;Gafsa;16;1;11;38;MEDIUM
OTHER;Jendouba;14;5;2;21;MEDIUM
CEREMONY;Sfax;14;4;6;100;MEDIUM
OTHER;Sousse;9;6;12;89;MEDIUM
OTHER;Mahdia;21;3;2;63;MEDIUM
CINEMA;Nabeul;21;4;10;27;HIGH
SPORT;Gabes;19;0;5;88;MEDIUM
KARAOKE;Sidi Bouzid;20;3;11;41;MEDIUM
OTHER;Medenine;16;0;3;45;LOW
CEREMONY;Nabeul;15;4;11;132;MEDIUM
SPORT;Kasserine;10;5;4;26;MEDIUM
CEREMONY;Jendouba;11;0;6;107;LOW
KARAOKE;Jendouba;21;6;12;53;MEDIUM
SPORT;Beja;9;2;12;76;LOW
KARAOKE;Jendouba;21;4;11;15;MEDIUM
CINEMA;Sousse;18;6;7;77;HIGH
OTHER;Kairouan;9;4;3;18;LOW
KARAOKE;Tozeur;22;3;3;59;LOW
OTHER;Gabes;9;1;4;35;LOW
SPORT;Beja;8;3;1;66;LOW
CINEMA;Jendouba;19;6;8;79;HIGH
CEREMONY;Tataouine;9;5;1;91;MEDIUM
KARAOKE;Monastir;22;3;3;40;MEDIUM
OTHER;Sfax;14;2;3;43;MEDIUM
SPORT;Kef;8;3;1;40;MEDIUM
OTHER;Bizerte;12;5;4;96;LOW
CINEMA;Jendouba;20;4;1;16;MEDIUM
CEREMONY;Nabeul;16;1;10;32;HIGH
CINEMA;Jendouba;21;6;5;50;MEDIUM
CEREMONY;Kasserine;17;2;8;94;MEDIUM
CINEMA;Sousse;19;5;9;65;HIGH
OTHER;Manouba;9;4;11;57;LOW
OTHER;Tataouine;18;4;5;48;LOW
SPORT;Monastir;8;2;5;101;MEDIUM
KARAOKE;Jendouba;20;5;12;51;MEDIUM
KARAOKE;Bizerte;19;4;4;13;MEDIUM
OTHER;Kasserine;19;2;11;27;MEDIUM
SPORT;Tataouine;16;2;5;73;MEDIUM
CEREMONY;Kasserine;16;0;10;176;LOW
CINEMA;Siliana;18;5;9;75;MEDIUM
KARAOKE;Mahdia;20;6;3;52;HIGH
OTHER;Zaghouan;13;0;8;26;LOW
KARAOKE;Kebili;22;6;3;53;MEDIUM
KARAOKE;Tataouine;18;1;6;24;MEDIUM
KARAOKE;Sidi Bouzid;20;2;5;47;MEDIUM
KARAOKE;Sousse;18;3;1;50;MEDIUM
OTHER;Gabes;18;0;8;34;MEDIUM
OTHER;Manouba;19;3;9;48;MEDIUM
CEREMONY;Ariana;17;6;3;65;HIGH
CINEMA;Siliana;20;4;8;33;MEDIUM
KARAOKE;Tozeur;19;6;2;41;MEDIUM
KARAOKE;Tataouine;19;2;11;13;MEDIUM
SPORT;Sousse;10;1;3;93;MEDIUM
CINEMA;Monastir;17;1;10;70;MEDIUM
CEREMONY;Kasserine;14;3;7;31;MEDIUM
SPORT;Sfax;9;5;6;21;HIGH
KARAOKE;Mahdia;19;0;11;10;MEDIUM
CINEMA;Beja;19;2;3;28;MEDIUM
CEREMONY;Mahdia;15;2;3;46;MEDIUM
SPORT;Kef;10;3;12;86;LOW
OTHER;Mahdia;14;3;11;27;MEDIUM
KARAOKE;Monastir;20;6;4;20;HIGH
CEREMONY;Tunis;10;1;12;63;MEDIUM
CINEMA;Kebili;17;4;9;36;MEDIUM
SPORT;Kairouan;18;5;1;68;HIGH
KARAOKE;Sfax;22;0;10;13;MEDIUM
SPORT;Tataouine;19;0;1;108;MEDIUM
SPORT;Sidi Bouzid;16;3;2;90;LOW
KARAOKE;Monastir;19;1;12;53;MEDIUM
SPORT;Kef;16;5;2;104;MEDIUM
OTHER;Jendouba;18;4;12;27;MEDIUM
CEREMONY;Manouba;15;5;10;60;HIGH
KARAOKE;Manouba;18;3;4;48;MEDIUM
CINEMA;Jendouba;21;1;6;67;MEDIUM
KARAOKE;Zaghouan;18;4;8;23;MEDIUM
CEREMONY;Siliana;10;0;1;52;LOW
SPORT;Gabes;18;3;3;31;HIGH
OTHER;Ben Arous;20;5;2;42;HIGH
CINEMA;Sousse;19;2;8;21;HIGH
SPORT;Zaghouan;19;0;5;66;MEDIUM
KARAOKE;Sidi Bouzid;18;0;1;10;MEDIUM
CINEMA;Gafsa;18;2;6;71;MEDIUM
OTHER;Jendouba;20;0;6;53;MEDIUM
CINEMA;Manouba;20;3;8;49;MEDIUM
CEREMONY;Tozeur;17;3;7;196;MEDIUM
CINEMA;Manouba;18;5;12;22;HIGH
CINEMA;Manouba;20;4;8;71;MEDIUM
CINEMA;Medenine;20;6;6;18;HIGH
CINEMA;Monastir;20;0;7;71;HIGH
SPORT;Ben Arous;10;5;6;21;HIGH
OTHER;Kebili;18;5;10;38;MEDIUM
KARAOKE;Mahdia;22;5;12;49;MEDIUM
SPORT;Sidi Bouzid;18;5;4;81;MEDIUM
KARAOKE;Gafsa;21;1;9;49;MEDIUM
SPORT;Tunis;18;1;9;80;HIGH
CEREMONY;Zaghouan;9;6;8;112;MEDIUM
CINEMA;Siliana;19;0;9;43;MEDIUM
OTHER;Tataouine;15;3;4;20;LOW
CEREMONY;Sousse;17;4;8;52;HIGH
CEREMONY;Sousse;11;0;8;197;MEDIUM
SPORT;Manouba;16;3;1;91;MEDIUM
OTHER;Tunis;10;6;10;89;MEDIUM
KARAOKE;Mahdia;22;1;11;52;LOW
CEREMONY;Siliana;11;6;1;87;MEDIUM
CEREMONY;Siliana;15;6;10;183;MEDIUM
CEREMONY;Tozeur;16;2;12;145;LOW
SPORT;Manouba;19;5;4;20;HIGH
KARAOKE;Kairouan;20;4;9;33;MEDIUM
SPORT;Ariana;9;3;3;111;MEDIUM
CEREMONY;Manouba;11;4;4;78;MEDIUM
SPORT;Kasserine;9;3;4;111;LOW
KARAOKE;Manouba;21;0;11;53;MEDIUM
OTHER;Manouba;21;3;8;94;MEDIUM
OTHER;Mahdia;11;3;1;77;LOW
SPORT;Sfax;16;6;10;81;HIGH
OTHER;Zaghouan;20;4;3;26;MEDIUM
SPORT;Kasserine;18;4;10;61;MEDIUM
OTHER;Kasserine;15;4;12;41;LOW
KARAOKE;Kasserine;20;2;8;18;MEDIUM
CINEMA;Sidi Bouzid;21;5;12;80;MEDIUM
KARAOKE;Tozeur;22;6;6;55;MEDIUM
OTHER;Tataouine;12;1;4;89;LOW
KARAOKE;Gafsa;20;5;3;55;MEDIUM
CINEMA;Mahdia;21;5;11;56;HIGH
SPORT;Kairouan;17;3;10;93;MEDIUM
CEREMONY;Gafsa;16;6;9;103;MEDIUM
CEREMONY;Tunis;15;0;1;127;MEDIUM
CINEMA;Ariana;17;1;5;35;HIGH
KARAOKE;Gafsa;20;1;1;54;MEDIUM
KARAOKE;Bizerte;22;0;6;38;MEDIUM
SPORT;Medenine;19;5;12;91;HIGH
CINEMA;Kebili;21;3;4;80;MEDIUM
KARAOKE;Tozeur;18;3;7;36;MEDIUM
KARAOKE;Sfax;18;0;12;26;HIGH
CINEMA;Medenine;20;6;4;62;HIGH
OTHER;Sfax;20;4;4;34;MEDIUM
KARAOKE;Sousse;19;5;2;21;HIGH
CINEMA;Kebili;21;0;7;20;MEDIUM
CEREMONY;Jendouba;15;2;3;71;MEDIUM
OTHER;Jendouba;9;2;8;100;LOW
CINEMA;Ariana;18;2;10;21;HIGH
OTHER;Gafsa;13;3;10;80;LOW
KARAOKE;Ben Arous;20;4;4;21;HIGH
OTHER;Ben Arous;21;4;3;63;MEDIUM
OTHER;Sfax;15;0;6;38;MEDIUM
CINEMA;Gafsa;19;2;6;52;MEDIUM
CINEMA;Medenine;21;3;9;16;MEDIUM
SPORT;Gafsa;10;3;4;102;LOW
OTHER;Medenine;12;0;11;51;LOW
CEREMONY;Manouba;14;2;9;102;MEDIUM
SPORT;Mahdia;19;6;6;85;HIGH
OTHER;Sousse;16;0;5;93;LOW
CINEMA;Siliana;21;0;2;36;MEDIUM
OTHER;Sfax;9;5;2;36;MEDIUM
CINEMA;Gafsa;20;6;2;41;MEDIUM
OTHER;Tozeur;20;6;7;92;MEDIUM
SPORT;Kebili;18;1;1;78;MEDIUM
KARAOKE;Ariana;18;0;1;21;HIGH
KARAOKE;Sfax;18;4;4;26;HIGH
CEREMONY;Kasserine;14;5;7;140;MEDIUM
KARAOKE;Tunis;21;5;2;44;HIGH
SPORT;Tataouine;18;4;2;116;MEDIUM
OTHER;Ariana;20;6;2;55;HIGH
OTHER;Manouba;13;6;11;48;MEDIUM
OTHER;Ben Arous;13;6;8;58;MEDIUM
CEREMONY;Gafsa;9;3;3;166;LOW
CINEMA;Nabeul;20;6;9;52;HIGH
CINEMA;Kef;19;0;9;33;MEDIUM
SPORT;Ariana;8;4;10;70;MEDIUM
OTHER;Sfax;10;2;4;54;LOW
CINEMA;Sidi Bouzid;21;1;3;38;MEDIUM
CINEMA;Medenine;19;1;2;38;MEDIUM
OTHER;Ariana;21;4;8;92;MEDIUM
OTHER;Ben Arous;13;5;2;42;MEDIUM
SPORT;Bizerte;18;4;8;62;HIGH
KARAOKE;Nabeul;19;0;5;49;MEDIUM
SPORT;Bizerte;10;3;8;62;MEDIUM
OTHER;Gafsa;13;5;10;29;MEDIUM
OTHER;Gabes;14;6;6;64;MEDIUM
CINEMA;Tunis;19;1;4;70;MEDIUM
KARAOKE;Kairouan;19;5;12;31;HIGH
CEREMONY;Sousse;14;2;5;154;MEDIUM
OTHER;Manouba;11;5;10;20;MEDIUM
KARAOKE;Nabeul;22;1;5;56;MEDIUM
SPORT;Kebili;8;0;9;100;LOW
SPORT;Gabes;17;3;10;47;HIGH
SPORT;Sfax;10;4;9;80;MEDIUM
CINEMA;Kairouan;20;1;10;52;MEDIUM
CINEMA;Sousse;21;4;2;65;MEDIUM
KARAOKE;Mahdia;18;5;4;49;HIGH
CINEMA;Mahdia;18;3;3;37;MEDIUM
OTHER;Gabes;19;6;3;71;MEDIUM
KARAOKE;Ariana;19;6;8;24;HIGH
SPORT;Jendouba;10;1;1;105;LOW
CINEMA;Mahdia;19;3;8;73;MEDIUM
SPORT;Ariana;18;2;2;110;MEDIUM
OTHER;Tataouine;13;6;12;43;LOW
OTHER;Sfax;18;1;7;93;MEDIUM
CEREMONY;Kairouan;15;5;2;162;MEDIUM
KARAOKE;Kasserine;19;4;7;32;MEDIUM
KARAOKE;Monastir;21;4;1;42;MEDIUM
CINEMA;Sousse;18;1;2;80;MEDIUM
KARAOKE;Bizerte;19;1;3;33;MEDIUM
OTHER;Tozeur;10;5;4;63;LOW
KARAOKE;Kebili;18;3;11;40;MEDIUM
CEREMONY;Bizerte;15;1;11;135;MEDIUM
SPORT;Beja;8;1;10;95;LOW
CINEMA;Nabeul;21;0;10;33;HIGH
SPORT;Zaghouan;10;1;9;71;MEDIUM
OTHER;Gabes;19;0;12;94;LOW
KARAOKE;Ben Arous;19;3;10;40;HIGH
CEREMONY;Zaghouan;10;6;7;183;MEDIUM
CINEMA;Gabes;18;4;11;80;MEDIUM
KARAOKE;Zaghouan;20;3;10;47;MEDIUM
SPORT;Beja;16;3;3;33;MEDIUM
SPORT;Bizerte;17;6;9;107;HIGH
CEREMONY;Nabeul;15;0;3;151;MEDIUM
OTHER;Medenine;9;6;9;74;MEDIUM
SPORT;Ben Arous;16;5;3;97;HIGH
OTHER;Tunis;21;5;11;65;HIGH
OTHER;Sidi Bouzid;14;6;1;99;LOW
OTHER;Sidi Bouzid;12;6;8;58;MEDIUM
KARAOKE;Gabes;22;0;7;18;MEDIUM
KARAOKE;Monastir;19;6;2;28;HIGH
OTHER;Sfax;15;2;4;10;MEDIUM
SPORT;Gabes;17;0;9;20;HIGH
CEREMONY;Tataouine;10;5;6;134;MEDIUM
KARAOKE;Manouba;19;3;11;47;MEDIUM
KARAOKE;Jendouba;22;3;10;33;LOW
OTHER;Jendouba;19;3;4;62;LOW
OTHER;Sfax;16;1;6;81;MEDIUM
OTHER;Monastir;13;2;10;54;LOW
CEREMONY;Kebili;10;6;11;60;MEDIUM
CINEMA;Sousse;18;0;4;80;MEDIUM
CEREMONY;Siliana;17;4;10;43;MEDIUM
CINEMA;Kasserine;17;6;2;33;HIGH
CEREMONY;Medenine;14;0;2;97;MEDIUM
CINEMA;Kairouan;17;4;1;64;MEDIUM
CEREMONY;Medenine;16;4;5;182;LOW
SPORT;Zaghouan;18;3;8;21;HIGH
CINEMA;Gafsa;21;2;4;19;MEDIUM
OTHER;Mahdia;17;5;4;88;MEDIUM
CINEMA;Gafsa;17;2;4;15;MEDIUM
CINEMA;Ben Arous;19;6;7;60;HIGH
CEREMONY;Kasserine;15;1;9;33;MEDIUM
SPORT;Ben Arous;17;2;12;91;MEDIUM
OTHER;Kairouan;14;6;5;38;MEDIUM
OTHER;Bizerte;16;3;10;10;MEDIUM
KARAOKE;Zaghouan;21;4;2;45;MEDIUM
SPORT;Mahdia;10;2;2;85;LOW
KARAOKE;Sfax;22;2;12;38;MEDIUM
CEREMONY;Gabes;14;6;4;116;MEDIUM
CEREMONY;Gafsa;14;4;1;153;LOW
SPORT;Jendouba;8;3;11;120;LOW
CINEMA;Gafsa;18;6;6;67;HIGH
KARAOKE;Mahdia;22;0;12;26;MEDIUM
CINEMA;Kef;17;3;11;58;MEDIUM
SPORT;Sfax;9;3;6;65;MEDIUM
CINEMA;Gabes;19;1;12;39;MEDIUM
CEREMONY;Kebili;10;1;12;91;LOW
KARAOKE;Bizerte;19;1;4;49;MEDIUM
KARAOKE;Nabeul;18;0;2;53;MEDIUM
CEREMONY;Medenine;9;6;9;40;HIGH
CEREMONY;Kairouan;15;2;8;177;MEDIUM
KARAOKE;Monastir;19;6;9;27;HIGH
CEREMONY;Beja;17;4;3;43;MEDIUM
OTHER;Sidi Bouzid;16;4;1;74;LOW
KARAOKE;Kasserine;19;3;2;54;MEDIUM
OTHER;Sousse;14;5;1;11;HIGH
CINEMA;Kasserine;21;0;6;61;MEDIUM
OTHER;Jendouba;11;4;5;40;LOW
KARAOKE;Monastir;22;2;6;21;MEDIUM
CEREMONY;Sidi Bouzid;10;3;12;125;LOW
KARAOKE;Kasserine;20;3;3;46;MEDIUM
CINEMA;Gabes;18;6;2;49;HIGH
CINEMA;Sfax;20;6;7;40;HIGH
CINEMA;Kebili;18;3;1;37;MEDIUM
CEREMONY;Monastir;10;6;11;162;MEDIUM
OTHER;Kebili;14;6;8;48;MEDIUM
KARAOKE;Sfax;22;0;7;16;MEDIUM
CINEMA;Ariana;18;6;5;75;HIGH
SPORT;Sousse;18;2;5;66;HIGH
KARAOKE;Sfax;22;6;5;32;HIGH
SPORT;Sidi Bouzid;8;2;11;97;LOW
CINEMA;Gabes;21;5;11;37;HIGH
KARAOKE;Kairouan;20;5;9;41;HIGH
CEREMONY;Ben Arous;14;4;5;148;MEDIUM
CINEMA;Zaghouan;19;3;11;66;MEDIUM
SPORT;Ben Arous;9;2;4;60;MEDIUM
KARAOKE;Tataouine;20;5;5;48;MEDIUM
CEREMONY;Jendouba;14;6;6;180;MEDIUM
OTHER;Sousse;15;1;3;12;MEDIUM
CINEMA;Kebili;18;5;5;25;HIGH
CINEMA;Zaghouan;20;0;2;23;MEDIUM
CEREMONY;Sfax;9;0;7;164;MEDIUM
SPORT;Manouba;10;4;3;30;MEDIUM
CEREMONY;Kef;10;1;12;102;LOW
CEREMONY;Tataouine;10;1;9;73;LOW
SPORT;Ariana;18;2;6;80;HIGH
CEREMONY;Sfax;11;4;8;64;MEDIUM
OTHER;Zaghouan;18;4;8;90;LOW
OTHER;Sidi Bouzid;17;5;11;78;MEDIUM
KARAOKE;Kairouan;21;4;4;15;MEDIUM
CEREMONY;Kef;11;3;5;69;LOW
KARAOKE;Tunis;18;4;3;32;HIGH
KARAOKE;Monastir;22;0;12;41;MEDIUM
CEREMONY;Kef;9;6;7;104;MEDIUM
OTHER;Beja;21;0;9;57;LOW
CINEMA;Sidi Bouzid;21;3;7;46;MEDIUM
CINEMA;Tozeur;20;6;7;43;HIGH
KARAOKE;Ben Arous;21;5;4;43;HIGH
OTHER;Tozeur;19;2;5;93;LOW
OTHER;Jendouba;15;1;2;33;LOW
CINEMA;Kef;17;5;8;72;HIGH
KARAOKE;Tozeur;22;3;4;30;LOW
SPORT;Nabeul;8;4;1;43;MEDIUM
SPORT;Kef;10;1;12;76;LOW
SPORT;Beja;8;1;1;83;LOW
CINEMA;Siliana;20;2;8;62;MEDIUM
CEREMONY;Tozeur;17;0;6;50;MEDIUM
CINEMA;Ariana;19;6;7;24;HIGH
OTHER;Monastir;11;1;5;58;LOW
SPORT;Manouba;19;5;4;69;HIGH
CEREMONY;Beja;16;0;4;147;LOW
SPORT;Mahdia;18;1;8;69;HIGH
KARAOKE;Siliana;19;5;12;12;HIGH
OTHER;Mahdia;10;2;8;91;LOW
KARAOKE;Bizerte;20;0;11;23;MEDIUM
SPORT;Beja;18;3;6;21;HIGH
